frame,mph,yards_per_sec,accel_mph_s,stride_ft,stride_yards,rotation_deg,total_yards,total_feet,effort,x_px,y_px
105,4.53,2.213,6.496,0.22,0.074,-140.05,53.22,159.67,WALKING,721.5,646.1
106,7.9,3.861,134.881,0.27,0.09,28.19,53.37,160.11,JOGGING,724.0,623.0
107,7.45,3.643,-17.848,0.83,0.275,-334.51,53.49,160.47,JOGGING,705.9,618.0
108,5.71,2.79,-69.825,0.13,0.043,-343.37,53.57,160.72,JOGGING,693.0,615.0
109,5.97,2.921,10.733,0.16,0.053,-22.08,53.67,161.02,JOGGING,704.3,625.8
110,4.61,2.253,-54.677,0.26,0.088,-2.28,53.74,161.22,WALKING,714.1,621.4
111,3.59,1.755,-40.701,0.12,0.041,-51.58,53.79,161.38,WALKING,721.0,626.1
112,4.64,2.268,41.956,0.04,0.012,-146.59,53.87,161.62,WALKING,713.5,615.7
113,24.57,12.013,797.327,0.26,0.088,2.17,54.38,163.15,TOP SPEED,635.4,596.1
115,18.76,9.174,-232.3,0.56,0.186,-0.72,54.66,163.97,SPRINTING,592.0,596.5
116,9.49,4.638,-371.087,0.53,0.178,0.42,54.76,164.28,ROUTE,607.6,591.0
117,12.51,6.116,120.869,0.13,0.045,13.69,54.98,164.94,ROUTE,630.0,617.7
118,8.88,4.341,-145.216,0.39,0.132,5.56,55.11,165.32,JOGGING,648.7,611.0
119,4.43,2.164,-178.117,0.6,0.2,2.18,55.15,165.46,WALKING,645.8,618.1
120,7.7,3.765,130.985,0.99,0.332,-0.94,55.3,165.89,JOGGING,624.1,611.6
121,10.3,5.035,103.909,1.39,0.464,-1.82,55.48,166.44,ROUTE,595.6,607.7
122,8.59,4.199,-68.413,0.14,0.046,356.06,55.61,166.83,JOGGING,574.9,608.5
123,7.39,3.615,-47.755,0.42,0.139,357.07,55.72,167.17,JOGGING,559.8,618.3
124,5.58,2.73,-72.387,0.23,0.075,-5.32,55.81,167.42,JOGGING,553.5,629.5
125,6.86,3.352,50.875,0.21,0.07,-5.03,55.92,167.77,JOGGING,571.9,625.7
126,6.86,3.353,0.101,0.36,0.121,-3.74,56.04,168.11,JOGGING,588.3,632.3
127,6.41,3.135,-17.882,0.18,0.06,-5.74,56.14,168.41,JOGGING,604.4,631.5
128,3.64,1.779,-110.938,0.23,0.077,-4.48,56.18,168.55,WALKING,611.3,630.4
129,6.61,3.23,118.713,0.15,0.051,-5.76,56.31,168.92,JOGGING,630.1,635.9
130,4.65,2.273,-78.276,0.5,0.165,-5.09,56.37,169.11,WALKING,627.9,625.9
131,3.51,1.714,-45.774,0.73,0.244,356.2,56.42,169.27,WALKING,622.9,632.2
132,7.1,3.474,143.992,0.68,0.228,-4.15,56.56,169.67,JOGGING,638.1,647.3
133,6.1,2.981,-40.285,0.84,0.279,5.27,56.65,169.95,JOGGING,652.8,645.1
134,5.96,2.913,-5.592,0.96,0.319,36.0,56.75,170.24,JOGGING,649.6,660.0
135,8.52,4.166,102.54,0.32,0.107,6.09,56.9,170.7,JOGGING,670.6,671.8
136,3.33,1.629,-207.577,1.26,0.42,-4.02,56.93,170.78,WALKING,672.5,675.5
137,9.74,4.763,256.393,1.31,0.438,0.09,57.12,171.36,ROUTE,703.1,677.8
138,9.44,4.615,-12.056,0.54,0.181,10.54,57.27,171.82,ROUTE,710.1,700.8
139,7.76,3.794,-67.193,1.28,0.426,2.13,57.39,172.17,JOGGING,728.5,703.3
140,8.93,4.364,46.649,1.59,0.53,2.53,57.54,172.62,JOGGING,752.5,704.0
141,6.26,3.062,-106.508,2.11,0.702,0.29,57.63,172.89,JOGGING,765.1,698.2
142,4.09,1.998,-87.053,1.77,0.591,-2.84,57.68,173.05,WALKING,761.9,706.2
143,3.36,1.644,-29.021,1.71,0.57,3.63,57.73,173.2,WALKING,767.3,700.3
144,5.09,2.49,69.269,0.57,0.191,5.04,57.83,173.48,JOGGING,772.3,714.0
145,3.93,1.921,-46.593,0.36,0.12,0.22,57.88,173.65,WALKING,780.1,718.7
146,9.68,4.731,229.931,1.38,0.46,1.92,58.07,174.22,ROUTE,807.5,706.5
147,11.39,5.569,68.519,2.25,0.749,0.77,58.27,174.81,ROUTE,802.7,737.0
148,8.05,3.938,-133.423,1.43,0.478,-6.12,58.38,175.15,JOGGING,809.7,753.5
149,13.88,6.787,233.122,0.26,0.087,-3.48,58.64,175.92,ROUTE,841.8,778.6
150,5.01,2.448,-354.995,0.98,0.325,4.57,58.67,176.02,JOGGING,847.0,779.9
151,8.33,4.074,132.99,2.55,0.849,3.91,58.83,176.48,JOGGING,859.6,759.1
